tweet_id,text,created_at,category_name
600,"RT @TigerAngel2: RT @HumaneSociety: Not affected by #highparkfire? Help @LarimerHumane by donating wet dog/cat food, or on their site ht ...",2012-06-10T00:00Z,Donations
634,RT @SMEM911: RT @nocoredcross: #HighParkFire @RedCrossDenver @NoCORedCross People who want to volunteer may call 211 to be put on a wait ...,2012-06-11T00:00Z,Volunteer
694,"RT @paterosbrew: #HighParkFire fundraiser THIS SATURDAY, from 11-2. With @TheWaffleLab and many others, so stay tuned for more details.",2012-06-14T00:00Z,Donations
717,RT @COEmergency: Want to donate to #HighParkFire families? Go to http://t.co/lo57JOy8,2012-06-15T00:00Z,Donations
760,RT @COEmergency: Items needed for #HighParkFire Donation Center.  http://t.co/FlNhdClR,2012-06-19T00:00Z,Donations
762,BIG Colorado Thank You to @Good4UDrinks for sending more drinks to the frontline.  #HighParkFire http://t.co/sSH2NS2y,2012-06-20T00:00Z,Donations
775,I'm at Target. Can someone tell me what donations are needed for #HighParkFire evacuees and firefighters?,2012-06-21T00:00Z,Donations
777,Fresh fruit for #HighParkFire personnel staying on campus not needed. Plenty of fruit already! Please donate $ to @NoCORedCross instead,2012-06-22T00:00Z,Donations
784,"RT @SMDayFoCo2012: Donationsl continue for #HighParkFire at Foothills Mall. #HelpColoradoNow. If you are out an about this morning,... h ...",2012-06-23T00:00Z,Donations
797,Hanhnenberg: Currently we have the resources we need and will continue to but there will be competition for resources. #HighParkFire,2012-06-24T00:00Z,Donations
813,MY GOODNESS! My hometown of Colorado Springs seems to be in fire turmoil! What is going on down there!? If... http://t.co/w9GtoDlu,2012-06-25T00:00Z,InformationWanted
833,"RT @denverpost: How to assist Colorado #wildfire victims, how to donate and help: http://t.co/JgSAw7k6 #highparkfire #waldocanyonfire",2012-06-26T00:00Z,Donations
1359,Oh! any damage report? RT @Nids_ShriKant: 7.9 earthquake in Costa Rica..!! Now,2012-09-05T00:00Z,InformationWanted
1635,#socy2044  will there be looting? Or an increase in crime this weekend?#boulderflood,2013-09-12T00:00Z,InformationWanted
1674,"RT @dailycamera: If you're looking to volunteer or donate to help clean-up, @boulderoem says stay home and wait #boulderflood",2013-09-12T00:00Z,Donations
1789,"RT @femaregion8: The *best way* to help #coflood survivors, first visit http://t.co/vE6LB9zvCi . This is how you make the greatest impact. ?",2013-09-15T00:00Z,Donations
1811,RT @mchastain81: You can do so much to help those who lost everything in the #COflood http://t.co/NsEhKW3Spu,2013-09-15T00:00Z,Donations
1845,Interesting holiday experience: buying bottled water in Colorado because maybe the tap water is contaminated by the enormous floods.,2013-09-16T00:00Z,InformationWanted
1848,RT @realstevem: Does anyone know of some vacant warehouse space near central Boulder for @Boulderrelief Flood relief efforts? #boulderflood,2013-09-16T00:00Z,InformationWanted
2400,"RT @mindanaoan: Anybody in Butuan and Surigao? Kindly tweet updates re #PabloPH preps in your area. In CDO, roughly 15,000 ppl may need  ...",2012-12-02T00:00Z,InformationWanted
2420,RT @rapplerdotcom: #PabloPH: Davao City gearing up for possible flooding and landslides (via @karlosmanlupig). How are you preparing for ...,2012-12-02T00:00Z,InformationWanted
2516,#reliefPH ops need road access. HELP report #roadsPH conditions to http://t.co/i46cE3kb &amp;view map http://t.co/IiXqG81u #rescuePH #PabloPH,2012-12-03T00:00Z,InformationWanted
