retweets_id,retweeter_id,original_user_id,times
207354,56871,97211,1
207355,60808,62923,1
207356,61156,98098,1
207357,57588,97334,1
207358,79998,79993,1
207359,58342,97479,1
207360,61429,61531,1
207361,60319,64463,1
207362,57380,96534,1
207363,63117,62923,1
207364,83365,83235,1
207365,58712,63238,1
207366,57395,97316,1
207367,57395,70588,1
207368,57395,97357,1
207369,57395,98639,1
207370,57395,88314,1
305375,61517,98204,1
305376,59007,76553,1
305377,56956,97233,1
305378,59116,97592,1
305379,83353,83209,1
305380,57375,97311,1
305381,56864,97208,1
305382,61995,98321,1
305383,60736,63095,1
305384,84711,84655,1
305385,59504,97682,1
305386,62923,98582,1
305387,61138,98092,1
305388,62699,98547,1
305389,56648,97165,1
305390,57373,79100,1
305391,59865,97784,1
305392,84787,84498,1
305393,58848,60729,1
305394,58848,58338,1
305395,58848,60736,1
305396,59659,97725,1
305397,62262,98384,1
305398,80158,99430,1
305399,77445,99114,1
305400,83815,83730,1
305401,64241,98854,1
305402,73795,85269,1
305403,73795,86176,1
305404,63070,89915,1
305405,64421,97305,1
305406,57968,57775,1
305407,58774,58501,1
305408,57578,57577,1
305409,57578,57263,1
305410,57578,92190,1
305411,61884,98296,1
305412,60687,97977,1
305413,60826,60720,1
305414,58742,97513,1
305415,59471,97677,1
305416,57884,97399,1
305417,62196,61678,1
305418,61199,98110,1
305419,63755,98735,1
305420,56756,97184,1
305421,59011,64465,1
305422,58190,59020,1
305423,64137,58361,1
305424,61657,98265,1
305425,59633,97717,1
305426,57175,58108,1
305427,58091,97436,1
305428,85342,85174,1
305429,63134,65124,1
305430,58875,97536,1
305431,59890,99560,1
305432,58988,58987,1
305433,62365,88567,1
305434,57423,97317,1
305435,79910,79908,1
305436,60994,61506,1
305437,62684,98541,1
305438,83469,82977,1
305439,57441,88567,1
305440,59543,88567,1
305441,58303,58578,1
305442,61350,61321,1
305443,60010,96388,1
305444,57711,97360,1
305445,57415,64465,1
305446,60801,89184,1
305447,58347,58317,1
305448,86234,85202,1
305449,61571,98043,1
305450,61038,98043,1
305451,56833,97199,1
305452,77439,99110,1
305453,58694,58501,1
305454,80725,99513,1
305455,57709,97359,1
305456,77548,99157,1
305457,59060,97577,1
305458,61182,61083,1
305459,63808,98750,1
305460,58604,61976,1
305461,63075,65874,1
305462,59807,89743,1
305463,56694,56965,1
305464,57789,97159,1
305465,56996,97245,1
305466,57562,97330,1
305467,82977,99566,1
305468,86290,99700,1
305469,86290,85757,1
305470,86290,85403,1
305471,86290,85740,1
305472,86290,85369,1
305473,86290,85735,1
305474,86290,85725,1
305475,86290,85515,1
305476,86290,85902,1
305477,86290,85818,1
305478,86290,85174,3
305479,86290,85214,1
305480,86290,85309,1
305481,86290,85307,1
305482,86290,67357,2
305483,86290,85179,1
305484,60542,97933,1
305485,61251,86677,1
305486,61596,98222,1
305487,79687,99410,1
305488,80153,99430,1
305489,57608,57263,1
305490,58220,79286,1
305491,58081,59020,1
305492,57001,97248,1
305493,56957,97234,1
305494,57886,96479,1
305495,61030,98058,1
305496,56764,64463,1
305497,57612,97340,1
305498,61981,98316,1
305499,86288,85746,1
305500,86314,85238,1
305501,61083,98050,1
305502,58978,97556,1
305503,56879,97214,1
305504,57990,57263,1
305505,76655,98962,2
305506,64273,62587,1
305507,56794,56586,1
305508,56846,97202,1
305509,86278,99674,1
305510,57649,97349,1
305511,62344,59020,1
305512,84809,84316,1
305513,58765,97517,1
305514,61904,88246,1
305515,85158,85147,1
305516,84300,99620,1
305517,58037,63222,1
305518,58667,89629,1
305519,61029,98057,1
305520,61331,98079,1
305521,79966,79965,1
305522,60054,95111,1
305523,85652,85180,1
305524,85594,85208,1
305525,63294,98645,1
305526,57757,97373,1
305527,79907,79517,1
305528,80502,99477,1
305529,57704,56743,1
305530,83364,83122,1
305531,57878,79100,1
305532,58338,98566,1
305533,56838,97200,1
305534,59901,88567,1
305535,63222,63246,1
305536,61975,61920,1
305537,57776,56586,1
305538,62239,97844,1
305539,61806,61838,1
305540,61002,73784,1
305541,58714,58501,1
305542,58991,94773,1
305543,62303,56677,1
305544,58956,97552,1
305545,63777,63257,1
305546,82914,96910,1
305547,62941,63007,1
305548,61509,98201,1
305549,59872,97788,1
305550,77623,99185,1
305551,63652,96107,1
305552,60836,99528,1
305553,61304,85271,1
305554,60848,60648,1
305555,61087,96977,1
305556,79992,80066,1
305557,57377,58317,1
305558,62626,88844,1
305559,58707,88128,1
305560,61076,73784,1
305561,83324,83287,1
305562,82857,82915,1
305563,59968,97817,1
305564,59285,57458,1
305565,64038,98795,1
305566,79551,64516,1
305567,58063,97431,1
305568,60926,98193,1
305569,56771,97188,1
305570,56752,97182,1
305571,61799,61796,1
305572,59212,59211,1
305573,59307,59078,1
305574,85573,85168,1
305575,85573,85309,1
305576,85573,85181,1
305577,85573,86177,1
305578,56823,56743,1
305579,62431,98456,1
305580,64102,67159,1
305581,57193,97286,1
305582,60733,56677,1
305583,58909,97543,1
305584,60118,97859,1
305585,58192,59020,1
305586,86013,99694,1
305587,83784,79551,1
305588,59456,83848,1
305589,57444,97318,1
305590,86231,86132,1
305591,86231,86176,1
305592,64124,98821,1
305593,61606,61678,1
305594,60040,97834,1
305595,63271,63257,2
305596,63271,98742,1
305597,84790,84259,1
305598,83489,83219,1
305599,62002,96366,1
305600,62523,98498,1
305601,63422,98667,1
305602,61120,61531,1
305603,86399,85515,1
305604,61387,98164,1
305605,60528,97928,1
305606,57831,97390,1
305607,57316,97305,1
305608,57426,61206,1
305609,85947,85973,1
305610,59162,97604,1
305611,56612,56743,1
305612,79351,79350,1
305613,84863,83675,1
305614,84863,83648,1
305615,84863,82904,1
305616,63633,98718,1
305617,58925,94491,1
305618,58830,97524,1
305619,57674,97355,1
305620,61512,61544,1
305621,62206,98368,1
305622,63009,97516,1
305623,60094,82924,1
305624,77282,99077,1
305625,63509,98694,1
305626,80047,80040,1
305627,62548,98509,1
305628,76751,98977,1
305629,59424,88567,1
305630,57877,79100,1
305631,85295,85230,1
305632,77086,79635,1
305633,62296,98398,1
305634,60125,69197,1
305635,58053,88314,1
305636,77955,99253,1
305637,59599,76993,1
305638,62123,98222,1
305639,60120,97860,1
305640,85277,85174,1
305641,58084,97436,1
305642,59031,96353,1
305643,58288,58317,1
305644,62073,97407,1
305645,63891,98770,1
305646,60484,97912,1
305647,61666,98241,1
305648,57737,57855,1
305649,86328,85214,1
305650,59124,58987,1
305651,59124,97869,1
305652,61086,60967,1
305653,58899,94737,1
305654,58899,89442,1
305655,58899,71473,2
305656,63675,98315,1
305657,78628,99331,1
305658,58044,89469,1
305659,86381,86285,1
305660,58816,58402,1
305661,56878,97213,1
305662,57517,96394,1
305663,77782,99212,1
305664,63724,98728,1
305665,59953,97814,1
305666,58089,97436,1
305667,61936,61622,1
305668,61532,98165,1
305669,84533,83030,1
305670,57112,97273,1
305671,57017,97254,1
305672,84597,83974,1
305673,62641,98529,1
305674,59200,97619,1
305675,63691,63271,1
305676,63325,63257,1
305677,59961,97773,1
305678,56617,97160,1
305679,56862,97206,1
305680,59081,64463,1
