tweet_id,event_id,eventType,text,date,user_id,annotation_postPriority
1613,2,flood,"RT @dlfluegge: Crazy Flooding in Boulder, Colorado http://t.co/sg0iIdqCeY via @youtube",,,High
1614,2,flood,Here's the #boulderflood video that's circulating around. Right in my old neighborhood west of CU! #StaySafe  http://t.co/eMPbOeBk7M?,,,High
1615,2,flood,RT @passantino: Video: Severe flooding hits near Univ. of Colorado at Boulder http://t.co/7jkJogCjDH,,,High
1616,2,flood,"Crazy Flooding in Boulder, Colorado http://t.co/3IgoyaAfWE",,,High
1617,2,flood,Thoughts and prayers out to those in Boulder who may not get to Amante for morning coffee. #boulderflood,,,Low
1618,2,flood,what... ?@AmyZPhD: @JuggleGod They are saying South Boulder Creek near Eldo Sprgs is past #100yearflood levels #boulderflood?,,,Low
1619,2,flood,RT @dailycamera: VIDEO: Flooding at 28th St underpass in #Boulder tonight http://t.co/JhQBnOZWiF #boulderflood,,,High
1620,2,flood,RT @BoulderCh1News: scanner #boulderflood reports Lee Road rock slide road is closed,,,High
1621,2,flood,"RT @elaine: With the #Boulderflood, remember to check and trust your sources before you Retweet. Don't go around spreading false informatio?",,,Low
1622,2,flood,RT @ShoutSteph: And I thought living on boulder creek would be a good thing... #flashflood #boulderflood #bouldercreek http://t.co/fe1LuXPp?,,,High
1623,2,flood,"Evacuation order for the town of #Jamestown, #CO. Torrential #flooding rain in the Front Range Urban Corridor, N of I-70 #COwx #Boulderflood",,,High
1625,2,flood,"#Breaking: Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/bN3gBLKHQg",,,High
1626,2,flood,"The weather is crazy over here..we have rivers now, &amp; some students are evacuating the dorms while others went mud sliding xD #boulderflood",,,Medium
1627,2,flood,Damnit @twitter take care of the spammers using #BoulderFlood,,,Low
1628,2,flood,RT @NWSBoulder Significant flooding at the Justice Center in #boulderflood #COwx,,,High
1629,2,flood,RT @TimesCall: #Westminster and #Thornton swift-water dive teams en route to #Boulder in case they are needed. #boulderflood #cowx,,,High
1630,2,flood,"#russelladler #news Jamestown, Colorado, is under mandatory evacuation order due to flash flooding - @dailycamera http://t.co/yyqbHZajQz",,,Medium
1632,2,flood,HOLY SHIT. Boulder creek water volume for the last year. Be careful. #boulder #boulderflood http://t.co/TfBOR1iUfF http://t.co/2qEYyqHbwk,,,High
1633,2,flood,"#Boulder #Colorado has like 340 days of sunshine a year. Now the #BoulderFlood ? That just proves if we are gonna do it, we do it big!",,,Low
1634,2,flood,Links for information on #Boulderflood from @BoulderOEM @CUBoulder @NWSBoulder @bouldercolorado #cowx  http://t.co/6QwHS0KLQ5,,,Low
1635,2,flood,#socy2044  will there be looting? Or an increase in crime this weekend?#boulderflood,,,High
1636,2,flood,RT @TxStormChasers: Scanner: Highway 66 going into Lyons is underwater from the west at the Diamond Shamrock. #cowx  #boulderflood,,,High
1637,2,flood,rain again picking up in dwtn bldr #boulderflood,,,Medium
1638,2,flood,For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ,,,High
1639,2,flood,RT @RedCrossDenver: For updates on additional evacuation points throughout Boulder County for #boulderflood visit http://t.co/zbOLD3UJEQ,,,Medium
