tweet_id,event_id,eventType,text,date,user_id,annotation_postPriority
2387,3,typhoon,We're tracking Typhoon #Bopha as it heads towards the #Philippines.  #WCPFC starts on Sunday and will be discussing #tuan and #sharks,,,Low
2388,3,typhoon,[NEWS] Typhoon Bopha is forecast to strike the Philippines at about 15:00 GMT on 4 ... - Reuters AlertNet (blog) | R... http://t.co/UjUK7RGL,,,High
2389,3,typhoon,Wag nmn sana tumuloy ung bagyong c #pablo wag sirain ang pasko pls lng ha.,,,Low
2390,3,typhoon,#Weather Update: Visayas will be greatly affected by Typhoon Bopha(TY Pablo). It might make landfall over Bohol on Tuesday |via @seph_ubalde,,,Medium
2391,3,typhoon,The Watchers - Tropical Storm Bopha upgraded to typhoon http://t.co/VB8TNzyC via @TheWatchers_,,,High
2392,3,typhoon,Expected track of Typhoon Bopha in the next 24-72 hrs. Will be a Category 4 storm in 48hrs and in the PAR in 72hrs. http://t.co/qRrnhnHb,,,High
2393,3,typhoon,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 01/DEC/12 06:30PM http://t.co/TEjX5fxY",,,High
2394,3,typhoon,"RT @dost_pagasa: Typhoon ""BOPHA"" Satellite image as of 01/DEC/12 07:30PM http://t.co/SITTaEUO",,,High
2395,3,typhoon,Sunny Sunday. ? we're hoping typhoon Pablo won't hit our shores.,,,Low
2396,3,typhoon,"RT @tjmanotoc: Typhoon Pablo to hit PHILIPPINES on Tuesday, forecast to be stronger than Sendong! Be safe &amp; prepared! http://t.co/iY ...",,,High
2397,3,typhoon,#ityphoonapp forecast track of super typhoon Bopha. It's boy scout time.  http://t.co/3gWpfC9R http://t.co/CA8AGMWT http://t.co/MY2mtirk,,,High
2398,3,typhoon,"RT @govph: For the latest updates on #pabloPH, please visit http://t.co/5H8gdz6P",,,Medium
2399,3,typhoon,"After making landfall, ""Bopha"" will cross Vis-Min area. Effects will be felt in NCR and rest of Luzon on Thursday #pabloPH @interaksyon",,,Medium
2400,3,typhoon,"RT @mindanaoan: Anybody in Butuan and Surigao? Kindly tweet updates re #PabloPH preps in your area. In CDO, roughly 15,000 ppl may need  ...",,,Medium
2401,3,typhoon,Let's be prepared! RT @jeffcanoy: (Typhoon) Pablo is expected to be stronger than Sendong.,,,Low
2402,3,typhoon,"Praying that typhoon ""Bopha"" will change its course and not make a direct hit in any of the islands. We do not... http://t.co/xU9LHkEB",,,Low
2403,3,typhoon,"RT @ANCALERTS: Typhoon Bopha will bring heavy-intense rains (20-30mm). PAGASA: ""Maghanda, maghanda, maghanda.""",,,High
2404,3,typhoon,RT @ABSCBNNews: Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/QeN04cxu,,,Low
2405,3,typhoon,RT @ABSCBNNews: Typhoon 'Bopha' stronger than 'Sendong' - PAGASA http://t.co/gsP2u00V,,,Low
