tweet_id,event_id,eventType,text,date,user_id,annotation_postPriority
3060,4,shooting,#LAX: Passengers at Terminal 3 of Los Angeles airport evacuated shortly after 9 am local time http://t.co/EqIBSayi5g http://t.co/3Lmnjdv6Wq,,,Low
3034,4,shooting,KING D ROYALTY http://t.co/2RJIrrnlOi ? #LA #LAX #OAKLAND #SF #BAYAREA #VEGAS #LOSANGELES #CALI #SEO #SMM #WP #OC #MUSIC #BLOGS #TURNUP 81,,,Low
3035,4,shooting,Something's happening @ #LAX rt now!! Re-tweet.,,,High
3036,4,shooting,"What the hell is going on at LAX, and why does something bad ALWAYS happen at an airport on days that I fly? Explain, @jonostrower.",,,High
3037,4,shooting,Gunshots outside #LAX. Unknown if anyone is injured. Prayers go out to you all.,,,Critical
3038,4,shooting,RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down. Suspect down.,,,Critical
3039,4,shooting,RT @charlescwcooke: California should pass gun control. RT @anblanx: Breaking Shooting at LAX. Terminal 2 Sources say report 2 victims down?,,,Low
3040,4,shooting,"RT @NewsBreaker: EYEWITNESS: @ToryBelleci reports hearing gun shots, ""then everyone starting running for the door."" Outside now @ #LAX http?",,,High
3041,4,shooting,"Shots fired, airport evacuated at #LAX is what im seeing all over my timeline.",,,Medium
3042,4,shooting,RT @AustinCrossCBS: Reports saying a TSA agent and the shooting suspect have been shot. #LAX,,,High
3043,4,shooting,RT @LASportsRadio: Some guy just got into the LAX airport with a rifle.  Last week LAX security confiscated my hair gel.,,,High
3044,4,shooting,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6?,,,High
3045,4,shooting,"RT @ABC7News: JUST IN per @911LAPD: Police are responding to a ""major incident"" at #LAX. http://t.co/sCgUph2DnU",,,High
3046,4,shooting,LAX Airport evacuated after reports of shooting http://t.co/RxZrFn8d1Q,,,Low
3047,4,shooting,RT @itvnews: LAX Airport evacuated after reports of shooting http://t.co/RxZrFn8d1Q,,,Low
3048,4,shooting,"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",,,Low
3049,4,shooting,RT @KIRO7Seattle: RT @CBSLA: #BREAKING: #LAPD: Incident Reported In Terminal 3 At #LAX. http://t.co/qkNvtvOLpp,,,High
3050,4,shooting,RT @grantimahara: Something just happened at #LAX. TSA and police running everywhere.,,,Low
3051,4,shooting,LAX Airport being evacuated. Shots fired. Boo.,,,Low
3052,4,shooting,Good heavens! Hope all tuns out well at #LAX Please stay safe everyone. Also AVOID LAX airport right now! #Terminal3,,,Low
3053,4,shooting,"DEVELOPING: There has been an ""incident"" at Los Angeles Intl Airport. Reports are there was a shooting | http://t.co/t65AUJwquP",,,Low
3054,4,shooting,RT @WLTX: #BREAKING: Gunfire reported Los Angeles airport (#LAX) terminal 3. Pic via Fox Sports reporter @foxsportsreiter http://t.co/cbPt6?,,,High
3055,4,shooting,RT @pornlaw: Shooting at LAX... TSA employee shot. News is reporting that the shooter might have a machine gun/assault rifle....,,,High
3056,4,shooting,RT @thinkprogress: Early reports indicate there were two victims down in Terminal 3 at LAX shooting http://t.co/GORdwvqYdS,,,Medium
3057,4,shooting,RT @thinkprogress: REPORT: Shooting at Los Angeles airport http://t.co/A9Ad45coky,,,Low
3058,4,shooting,RT @CaptDaveOnAir: Reports of man with rifle opened fire in terminal 3 at #LAX,,,Low
3059,4,shooting,"How did he get a rifle past security? He SHOT his way through, obviously. #LAX",,,Low
3061,4,shooting,"RT @EdJoyce: Los Angeles Airport Police Friday confirmed a shooting took place in Terminal 3 at LAX. Via @CBSLA 
http://t.co/ow4OlbjxZS #br?",,,Medium
3062,4,shooting,RT @GeekNation: Early reports of a shooting at LAX. Terminal being evacuated and all flights postponed.  #LAX,,,Low
3063,4,shooting,RT @NBCNews: More: Two victims shot by suspect in LAX reportedly using a rifle,,,Medium
3064,4,shooting,"My dad and my uncle spend so much time at the airport, I'm so thankful they were both home and safe during the LAX shooting",,,Low
3065,4,shooting,RT @Mediaite: WATCH LIVE: Terminal 3 Evacuated After Shooting Incident Reported at LAX Airport http://t.co/nCkHRaYmZs via @mediaite,,,Low
3066,4,shooting,"RT @msnbc: BREAKING: Reports of shots fired at LAX Airport, says senior government official. Stay with @msnbc for the latest.",,,Low
3067,4,shooting,RT @PzFeed: BREAKING NEWS: AT LEAST 2 PEOPLE SHOT AT LAX AIRPORT TERMINAL 3. SUSPECT USED A RIFLE. MAJOR CRIME SCENE.,,,Low
3068,4,shooting,RT @nbcnightlynews: BREAKING: Shooting reported at Los Angeles Int'l Airport Terminal 3; WATCH LIVE coverage via @NBCLA http://t.co/x1nQ14V?,,,Low
3069,4,shooting,RT @LANow: LAX shooting: 1 TSA agent has been shot and a suspect has been wounded according to sources. http://t.co/6LqVr2AoG4,,,Low
3070,4,shooting,"KTLA news reporting shooting victim at LAX appears to be TSA agent. Anchor: Not clear motive or number of suspects. ""Rapidly unfolding"" #LAX",,,Medium
3071,4,shooting,RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.,,,Medium
3072,4,shooting,RT @News1130radio: UPDATE: There are unconfirmed reports a TSA agent was shot at #LAX. Terminals evacuated.,,,Low
3073,4,shooting,Thoughts and prayers to any possible victims at LAX,,,Low
3074,4,shooting,Thoughts and prayers go out to everyone involved in the ongoing shooting at the LAX Airport. Unfortunate  situation! #StayStrong,,,Low
3075,4,shooting,RT @IglooMediaBase: Shots fired at the LAX international airport which is now being evacuated,,,Low
3076,4,shooting,RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.,,,Medium
3077,4,shooting,RT @USATODAY: MT @911LAPD: ?@CHPsouthern: Avoid #LAX at this time. Century Blvd. closed prior to airport entrance. Call airline for info? #?,,,High
3078,4,shooting,"RT @kron4news: BREAKING: LAPD say shots were fired at #LAX, multiple people injured. http://t.co/SIXzgjJ2S8",,,Medium
3079,4,shooting,RT @RickMontanez: #BREAKING: Witness on-air now on @abc7 says he heard three shots at #LAX. Live coverage on @abc30's website. http://t.co/?,,,High
3080,4,shooting,Shooting Prompts Evacuation Of Terminal 3 At #LAX http://t.co/Ysrnvk8nlP #NEWS,,,Low
3081,4,shooting,"RT @PzFeed: SHOOTING AT LAX AIRPORT:
-AT LEAST 2 PEOPLE SHOT
-8-10 SHOTS FIRED
-SUSPECT HAD A RIFLE
-TERMINAL 3 EVACUATED",,,High
3082,4,shooting,Trying to find out what happened at #LAX. Apparently there was a shooting,,,Low
3084,4,shooting,Hope u r not trying to fly in or out of #LAX right now...shots fired at security check point right? http://t.co/07Kh3H0M6D,,,Low
3085,4,shooting,"CNN Airport officials said a police incident began about 9:30 a.m. at Terminal 3 at #LAX, airport spokeswoman @News12LI",,,Medium
3086,4,shooting,RT @RobertTaylors: Shooting Reported at Los Angeles International Airport: There are reports of a shooting incident Friday mornin... http:/?,,,Low
3087,4,shooting,RT @ScottHanson: Shooting at LAX.  Terrible.  Hope the authorities got shooter immediately.  Many @nflnetwork colleagues flying back to LAX?,,,Low
3088,4,shooting,RT @grasswire: #LAX UPDATE: Several people have been shot according to LAPD police scanner. Citywide tactical alert declared,,,High
3089,4,shooting,"RT @nypost: ""TSA person yells there is someone shooting. We sprint into runway"" - #LAX eyewitness accounts from @jforstrom...",,,Medium
3090,4,shooting,RT @Michael_Tonge: Prayers up.. Jeez. #laxshooting,,,Low
3091,4,shooting,"RT @BradLtv: #LAX UPDATE: Ground stop now in effect for traffic arriving at Los Angeles Int'l Airport, FAA says -@nbcnightlynews",,,Medium
3092,4,shooting,RT @CBSEveningNews: NOW: We're on the air for a @CBSNews special report on the #LAXShooting. @JeffGlor anchors.,,,Low
3093,4,shooting,@BloombergNews reports FAA has suspended flights into LAX. #LAXShooting,,,Medium
3094,4,shooting,2nd shooter-WTF?? @LAScanner: LAX *Update: Report of 2nd suspected shooter in custody. LAFD reports total of 4 GSW patients at this time.,,,High
3095,4,shooting,Reports: TSA agent and alleged gunman wounded in shooting at Los Angeles Airport. #LAX http://t.co/b2JGQEhgSO,,,Low
3096,4,shooting,#FAA halts flights heading into #LAX (@KTVU),,,Medium
3097,4,shooting,#BREAKING NEWS: CBS REPORTS A SECOND ARMED MAN IN CUSTODY AT #LAX AIRPORT.,,,High
3098,4,shooting,"RT @ABC Full story: Several people shot at LAX, one suspect in custody http://t.co/3fl59B4Gg1",,,Low
3099,4,shooting,Shooting at LAX Terminal 3. #LAX #Shooting,,,Low
3100,4,shooting,RT @HarrisonAmy: Thinking of anyone in LAX airport or in the area. Hope people are keeping safe.,,,Low
3101,4,shooting,RT @Telegraph: Watch live: Los Angeles International Airport evacuated after shots fired http://t.co/CeCBbTFdzF #LAX,,,Low
3102,4,shooting,LAX airport evacuated after shooting \\ Circa \\  http://t.co/tGhJAaBj8M,,,Low
3103,4,shooting,RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,,,Low
3104,4,shooting,LAX shooting: Gunman opens fire inside Los Angeles Internationa Airport Terminal 3 http://t.co/ig60g3z1W4 #BreakingNews,,,Low
3105,4,shooting,RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,,,Low
3106,4,shooting,"#CCOT Shooting at LAX. 2 suspects in custody. 3 victims, per CBS news! Suspects in custody wearing camouflage clothing targeted TSA agents!",,,High
3107,4,shooting,"LAX Shooting: Officials Confirm 'Incident' At Airport, Witnesses Hear Gunshots: http://t.co/PZojzPXpHf",,,Low
3108,4,shooting,RT @nbcnightlynews: LATEST: Suspect pulled out rifle and shot document checker at TSA checkpoint at LAX - @PeteWilliamsNBC reports,,,Medium
3109,4,shooting,RT @BuzzFeed: There Are Reports Of A Shooting At Los Angeles International Airport http://t.co/9TgunRXajQ,,,Low
3110,4,shooting,BREAKING: Reports of Shooting at LAX airport http://t.co/9kPRc4qxih ^nk,,,Low
3111,4,shooting,RT @RT_com: #LAX UPDATE: At least two people shot in Los Angeles airport  http://t.co/eUIMXsS0KA,,,Low
3112,4,shooting,Thoughts are with all those affected by #LAXShooting - just senseless!,,,Low
3113,4,shooting,RT @NBCNews: Sources: Suspect opened fire with rifle at document checkpoint in Terminal 3 at LAX,,,Low
3114,4,shooting,Shootings at Los Angeles International Airport inside Terminal 3 this morning; at least one TSA employee among... http://t.co/ZB8l4ZUekF,,,Low
3115,4,shooting,crazy shooting at #LAX,,,Low
3116,4,shooting,RT @LAX_Official: Airport officials confirm police incident began at 9:30 a.m. @ Terminal 3 at LAX. More info to come.,,,Low
3117,4,shooting,#LAX son of a bitch deserves to be hung by the balls and tortured one body part at a time till he finally dies  ??? #angry,,,Low
3118,4,shooting,"Shots fired at LAX, airport evacuated: ABC7 in Los Angeles reports that a TSA employee was shot at a security... http://t.co/QbF0KOtN7s",,,Low
3119,4,shooting,It's always awesome to hear about a shooting at an airport you're scheduled to fly to within the month. #LAX,,,Low
3120,4,shooting,It's so weird I was there days ago in the same terminal #LAX #PrayForLAX,,,Low
3121,4,shooting,"RT @GlobalGrindNews: UPDATE: Shooting has ended, 2nd suspect taken into custody. More details to come... http://t.co/vRItUdL8uY #LAXshooting",,,High
3122,4,shooting,RT @JUDiJAiKRAZi: Prayers going out to the victims at #LAX ??,,,Low
