tweet_id,event_id,eventType,text,date,user_id,annotation_postPriority
588,0,wildfire,Large wildfire in northern Colorado prompts evacuations - Fox News: CBS NewsLarge wildfire in northern Colorado ... http://t.co/BvG6xSRH,,,Low
589,0,wildfire,RT @LarimerSheriff: #HighParkFire update http://t.co/hBy5shen,,,Low
582,0,wildfire,#colorado. Told you its #amazing http://t.co/6z0Qq7qe,,,Low
583,0,wildfire,RT @northfortynews: Tanker helicopter heads up to Paradise Park to drop water on #HighParkFire. http://t.co/7atRS5cy,,,Medium
584,0,wildfire,#Evacuation center Cache La Poudre Middle School 3515 West County Road 54G in Laporte. #Colorado #Wildfire,,,High
585,0,wildfire,20F degrees cooler tomorrow in North Central &amp; Northeastern #Colorado. Highs in the mid and upper 70'S. #HighParkFire #COwx #Heat #Coolbreak,,,Medium
586,0,wildfire,FEMA has authorized the use of federal funds to help with firefighting costs for the #HighParkFire. http://t.co/whxlpPEP,,,Medium
587,0,wildfire,#Media Large wildfire in N. Colorado prompts evacuations: Crews are battling a fast-moving wildf... http://t.co/ju1BGTKH #Politics #News,,,Low
590,0,wildfire,India Large wildfire in N. Colorado prompts evacuations http://t.co/uprHT63g,,,Low
591,0,wildfire,Western wildfires forcing evacuations: Firefighters in Colorado and New Mexico are battling wildfires that are m... http://t.co/BOaVjrRO,,,Low
592,0,wildfire,"New #HighParkFire Evacs: 474 evac notices S &amp; W of Bellvue includes Lory State Park, Redstone Canyon &amp; Buckhorn Rd to Stove Prairie School",,,Low
593,0,wildfire,#50radio #NowPlaying 5-0 Radio app (Larimer County Fire and EMS) rr://7897 #highparkfire,,,Low
594,0,wildfire,"According to Gov Hickenlooper, One third of all fire retardant equipment in the country is here in Larimer County. #highparkfire",,,Low
595,0,wildfire,RT @KyleLSaunders: Just some perspective: 14000 acres = 21.87500 sq mi #highparkfire; @LarimerSheriff notes still 0% containment--so sco ...,,,Low
596,0,wildfire,Huge forest fire here in Colorado up in the mountains,,,High
597,0,wildfire,"RT @denverpost: #HighParkFire, at 14,000 acres (22 sq. miles), is roughly the same size as the city of #Boulder (24 sq. miles): http://t ...",,,Medium
598,0,wildfire,"Colorado fire swells in size: A raging wildfire that swelled within a day to 8,000 acres in northern Colorado, b... http://t.co/VfjF9C59",,,Medium
599,0,wildfire,@alan_arnette Moore Animal Hosptal in FC offering free small animal boarding and pick up for #highparkfire evacuees. 970-560-0452 for info.,,,High
